Feature,Mean_Importance,Importance,SHAP_Importance,Composite_Score
SMR_VSA10,14.349153114822812,0.020833333333333336,0.019436034785540304,4.796474160980562
Kappa3,14.00756496932931,0.02083333333333336,0.007728977572772301,4.678709093411806
SMR_VSA5,13.00818576202956,0.03583333333333333,0.02560296457160931,4.356540686644834
EState_VSA1,12.343826391562992,-0.0008333333333333304,0.014141330363791836,4.119044796197817
MaxPartialCharge,11.674972632388936,0.013333333333333341,0.005995868526967051,3.898100611416412
SMR_VSA3,11.007523413533734,0.020833333333333336,0.0144735163919769,3.6809434210863485
EState_VSA4,10.34418915439821,0.0050000000000000044,0.013118823407223965,3.4541026592684783
PEOE_VSA8,10.340443640880485,0.01000000000000002,0.010510495597889533,3.453651378826125
SlogP_VSA5,10.34212726756064,0.005833333333333324,0.007222638854704409,3.451727746582893
PEOE_VSA6,9.675036258112979,0.018333333333333323,0.012218592962258041,3.235196061469523
SlogP_VSA10,9.346617145604432,0.0050000000000000044,0.027267598463001416,3.126294914689145
BalabanJ,9.343203197584513,0.010833333333333328,0.0055520996945148445,3.1198628768707874
PEOE_VSA7,9.007833445639681,0.011666666666666681,0.00515349108404849,3.0082178677967986
PEOE_VSA2,8.67718922389445,0.015000000000000013,0.005310890260841144,2.8991667047184304
HallKierAlpha,8.009491464793468,0.006666666666666643,0.0023881738288709636,2.6728487684296685
FractionCSP3,8.005486145751897,-0.010833333333333339,0.002934055025681751,2.6658622891480817
EState_VSA3,7.672713121984018,0.018333333333333347,0.003981565137467551,2.5650093401516068
SlogP_VSA2,7.6729577187386875,0.0016666666666666718,0.00010811458075400943,2.558244166662036
PEOE_VSA9,7.3412075333023425,0.017500000000000036,0.011453465254570529,2.456720332852304
EState_VSA9,7.340126935195195,0.017500000000000026,0.0020850653020196568,2.4532373334990716
SMR_VSA1,6.3386667818708355,0.010000000000000009,0.004480832409063083,2.117715871426633
SlogP_VSA3,6.008331336994772,0.0033333333333333327,0.0016708903433808669,2.004445186890495
SMR_VSA6,5.67423018407899,0.04583333333333334,0.005860639985588244,1.9086413857993039
EState_VSA8,5.672694356841354,0.016666666666666673,0.0010373060364404951,1.896799443181487
MinAbsEStateIndex,5.340663252207798,0.009166666666666667,0.0002526696575481379,1.783360862844004
MinPartialCharge,5.340970576769215,-0.0016666666666666607,0.0011213166050647635,1.7801417422358712
VSA_EState9,5.007200870053079,-0.0008333333333333304,0.0015604687361636838,1.6693093351519697
SMR_VSA7,5.007837497193825,-0.0016666666666666607,0.00046686391196948797,1.6688792314797094
Ipc,5.0036977718911375,-0.0008333333333333415,0.0,1.667621479519268
MolLogP,4.338292592084056,0.004166666666666652,0.0013882132807197913,1.447949157343814
MaxAbsEStateIndex,4.342285126072944,-0.001666666666666683,0.0012028442456388305,1.4472737678839718
NumRotatableBonds,4.338192579073785,-0.0008333333333333304,0.0,1.4457864152468172
EState_VSA7,4.006329552622112,0.023333333333333327,0.005505612922982616,1.3450561662928093
fr_ArN,4.005108869744907,0.0008333333333333304,0.003512255172605955,1.336484819416949
EState_VSA10,4.004562138413056,0.0,0.0005747591622098261,1.3350456325250886
SlogP_VSA1,3.6819471477937213,0.015833333333333355,0.004579474278617013,1.2341199851352238
fr_bicyclic,3.6720384537443844,0.0050000000000000044,0.006069325010744547,1.2277025929183762
PEOE_VSA10,3.671858844690305,0.009166666666666656,0.0006653284989403996,1.2272302799519708
Chi0,3.674142017976696,-0.0008333333333333304,6.248355491002816e-05,1.2244570560660908
PEOE_VSA1,3.6726773636942966,-0.005833333333333313,8.327144176048202e-05,1.222309100600908
fr_Imine,3.363009261792518,0.010833333333333316,0.004250335858811388,1.1260309769948875
SMR_VSA9,3.3390996745193102,0.020000000000000018,0.004685887940914517,1.1212618541534083
NumAliphaticRings,3.3448766895608384,0.010000000000000009,0.008361867800168786,1.1210795191203358
EState_VSA5,3.342694096602331,-0.002499999999999991,0.0021958092968831625,1.1141299686330715
MinEStateIndex,3.343163998314827,-0.005833333333333346,0.0006134272680312369,1.1126480307498416
fr_Ar_N,3.0040117639392308,0.004166666666666652,0.00339976134471932,1.0038593973168723
fr_NH2,2.6729632433339154,0.007500000000000007,0.006046006589715216,0.8955030833078769
fr_piperdine,2.6700616795554653,0.0008333333333333304,0.00273284364140125,0.8912092855100666
BertzCT,2.671848639573172,-0.0008333333333333304,0.0,0.8903384354132795
fr_unbrch_alkane,2.017497406916658,0.010833333333333339,0.0012839501426473463,0.6765382301308794
fr_aniline,2.0130426784528295,0.007499999999999995,0.0035176735460639673,0.674686783999631
fr_NH1,2.0117576800425185,0.0016666666666666718,0.000483476991556349,0.6713026079002472
SlogP_VSA6,2.006909248271168,0.0033333333333333327,0.0005594616325458542,0.6702673477456824
Kappa2,2.0060266387736845,0.002499999999999991,4.330817642680895e-05,0.6695233156500371
fr_para_hydroxylation,2.0044054824248945,0.0,0.0014827913692292414,0.6686294245980412
NumAliphaticHeterocycles,2.0015171130767873,-0.005833333333333313,0.00010530745727435869,0.6652630290669094
fr_C_O,2.002258344396059,-0.008333333333333314,5.551428925230514e-05,0.664660175117326
fr_alkyl_halide,1.6670619101616715,0.007499999999999995,0.0009662315001595976,0.5585093805539437
fr_amide,1.6719665734169677,-0.0008333333333333304,0.00022744596959131506,0.5571202286844086
fr_C_O_noCOO,1.3364213982132476,-0.0016666666666666607,0.0,0.4449182438488603
VSA_EState10,1.0029489775487372,0.005833333333333313,0.0,0.3362607702940235
SlogP_VSA4,1.0071627870565572,0.0008333333333333304,0.0,0.33599870679663013
